Inference(ms),Object,ID,Confidence,Distance(m)
"[225.33119999570772, 'airplane', 1, 0.3717222213745117, 2.428620361328125]"
"[204.35230000293814, 'airplane', 1, 0.5753735303878784, 2.615437255859375]"
"[197.68080000358168, 'airplane', 1, 0.3149266541004181, 0.0]"
"[204.51100000354927, 'airplane', 1, 0.48068296909332275, 0.0]"
"[195.77380000555422, 'airplane', 1, 0.4826403558254242, 0.0]"
"[197.5594999967143, 'airplane', 1, 0.5862502455711365, 2.428620361328125]"
"[201.30580000113696, 'airplane', 1, 0.49526381492614746, 0.0]"
"[217.43229999265168, 'airplane', 1, 0.27185291051864624, 0.0]"
"[200.94139999127947, 'airplane', 1, 0.446127712726593, 0.0]"
"[199.27449998795055, 'airplane', 1, 0.33761078119277954, 2.428620361328125]"
"[195.78009999531787, 'airplane', 1, 0.417901873588562, 0.0]"
"[191.12430000677705, 'airplane', 1, 0.3487817943096161, 2.428620361328125]"
"[203.10020000033546, 'airplane', 1, 0.3796491026878357, 2.428620361328125]"
"[194.411599994055, 'airplane', 1, 0.5695990920066833, 0.0]"
"[194.57160000456497, 'airplane', 1, 0.35067978501319885, 0.5573882446289062]"
"[198.46600000164472, 'airplane', 1, 0.330494225025177, 2.615437255859375]"
"[201.15389999409672, 'airplane', 1, 0.4232642352581024, 0.0]"
"[201.00790000287816, 'laptop', -1, 0.587167501449585, 3.400068359375]","[201.00790000287816, 'tv', -1, 0.5704547166824341, None]"
"[203.13039999746252, 'person', -1, 0.4171517491340637, 3.400068359375]","[203.13039999746252, 'cup', -1, 0.33776992559432983, None]"
"[195.925799998804, 'tv', 6, 0.4397205710411072, 0.8947548217773438]"
"[202.9257999965921, 'tv', 6, 0.4663497507572174, 0.8095401000976562]"
"[212.55969999765512, 'tv', -1, 0.3172993063926697, 0.9444634399414062]"
"[216.01869999722112, 'laptop', 6, 0.6475805044174194, 0.7907135620117187]"
"[190.51220000255853, 'laptop', 6, 0.5956828594207764, 0.8947548217773438]"
"[199.10949999757577, 'laptop', 6, 0.7820431590080261, 0.9444634399414062]"
"[197.19390000682324, 'laptop', 6, 0.9343379735946655, 0.0]"
"[200.16319998831023, 'laptop', 6, 0.9288541078567505, 1.2592845458984374]"
"[192.95479998982046, 'laptop', 6, 0.93243408203125, 1.3077186279296875]"
"[184.86439999833237, 'laptop', 6, 0.922424852848053, 0.0]","[184.86439999833237, 'book', 12, 0.4673832654953003, None]"
"[195.92899999406654, 'laptop', 6, 0.9076332449913025, 1.3077186279296875]"
"[188.55609999445733, 'laptop', 6, 0.8708140254020691, 1.3077186279296875]"
"[198.66130000445992, 'laptop', 6, 0.9170923829078674, 0.0]","[198.66130000445992, 'book', 12, 0.3211531341075897, None]"
"[194.1233999968972, 'laptop', 6, 0.8621925711631775, 0.0]"
"[201.4078999927733, 'laptop', 6, 0.9456969499588013, 0.0]"
"[175.88189999514725, 'laptop', 6, 0.9380885362625122, 1.03032373046875]","[175.88189999514725, 'keyboard', 16, 0.411903977394104, None]"
"[190.61320000037085, 'laptop', 6, 0.922539472579956, 1.0967962646484375]"
"[193.07439999829512, 'laptop', 6, 0.9247206449508667, 0.0]"
"[201.0042999900179, 'laptop', 6, 0.8692178130149841, 0.0]"
"[202.37659999111202, 'laptop', 6, 0.9133729338645935, 0.9714481201171875]","[202.37659999111202, 'book', 12, 0.5014398097991943, None]"
"[201.4197999960743, 'laptop', 6, 0.8649386763572693, 0.0]","[201.4197999960743, 'book', 12, 0.41599664092063904, 0.85001708984375]"
